edad,raza,sexo,estado_reproductivo,peso,tamano_corporal,motivo_consulta,antecedentes_medicos_previos,masa_tumoral_previa,tiempo_evolucion_lesion,tratamientos_previos,numero_lesiones,ubicacion_anatomica_tumor,tamano_lesion,forma_tumor,consistencia,movilidad,bordes,velocidad_crecimiento,ulceracion,invasion_tejidos_cercanos,tipo_estudio_diagnostico,citologia_realizada,biopsia_realizada,histopatologia_realizada,diagnostico_citologico,diagnostico_histopatologico,tipo_tumor,grado_tumoral,indice_mitotico,pleomorfismo_celular,necrosis_tumoral,metastasis,compromiso_ganglionar,recurrencia_tumoral,progresion_enfermedad,pronostico_clinico,tipo_tratamiento,respuesta_tratamiento,seguimiento_clinico,cancer_confirmado
2.8,Golden Retriever,F,entero,32.2,grande,cojera,obesidad,True,8.2,antiinflamatorios,1,bazo,5.63,irregular,blanda,semi-fija,definidos,lento,True,False,biopsia,True,False,False,sospechoso,,mastocitoma,alto,9.4,no aplica,True,True,False,False,regresiva,reservado,paliativo,sin tratamiento,6 meses,1
2.4,Pastor Alemán,M,esterilizado,35.4,grande,cojera,cirugia previa,True,1.8,antiinflamatorios,3,tejido subcutaneo,4.63,irregular,dura,movil,definidos,rapido,False,True,biopsia,True,False,False,benigno,benigno,sarcoma,bajo,16.6,moderado,True,True,False,True,estable,desfavorable,cirugia+quimio,parcial,12 meses,1
2.5,Beagle,F,entero,18.8,pequeno,masa palpable,obesidad,False,0.9,cirugia previa,1,mama,8.37,difusa,blanda,semi-fija,irregulares,lento,False,True,biopsia,False,True,True,benigno,inflamatorio,mastocitoma,bajo,15.3,no aplica,False,False,True,False,estable,desfavorable,paliativo,buena,3 meses,1
13.6,Pastor Alemán,M,esterilizado,33.9,pequeno,cojera,cirugia previa,False,3.3,antiinflamatorios,2,piel,3.93,nodular,blanda,semi-fija,infiltrativos,rapido,True,False,imagen,False,False,True,no concluyente,maligno,adenoma,bajo,,no aplica,False,True,False,False,estable,favorable,cirugia+quimio,parcial,3 meses,1
12.6,Boxer,F,entero,36.2,mediano,chequeo general,ninguno,False,1.2,antibioticos,2,piel,2.88,lobulada,dura,fija,infiltrativos,rapido,False,False,examen clinico,True,True,False,maligno,benigno,adenoma,no aplica,6.6,leve,False,True,False,True,regresiva,favorable,cirugia,parcial,3 meses,1
11.5,Boxer,M,esterilizado,17.8,mediano,sangrado local,obesidad,True,1.1,antibioticos,2,tejido subcutaneo,4.66,nodular,firme,fija,infiltrativos,rapido,False,False,imagen,True,False,False,benigno,maligno,lipoma,bajo,1.4,moderado,False,False,True,False,regresiva,favorable,cirugia+quimio,buena,3 meses,1
3.0,Pastor Alemán,F,esterilizado,34.0,pequeno,perdida de apetito,dermatitis,True,12.2,antiinflamatorios,2,bazo,3.22,lobulada,dura,fija,irregulares,moderado,False,False,imagen,True,False,False,maligno,maligno,carcinoma,intermedio,8.7,severo,False,True,False,False,estable,desfavorable,cirugia,parcial,3 meses,1
4.6,Labrador,F,entero,21.5,mediano,cojera,dermatitis,False,0.7,antibioticos,1,mama,3.54,irregular,dura,semi-fija,definidos,lento,False,False,citologia,False,False,True,maligno,inflamatorio,lipoma,,17.5,moderado,False,False,False,False,estable,desfavorable,cirugia+quimio,sin tratamiento,3 meses,0
6.4,Pastor Alemán,M,entero,27.5,pequeno,perdida de apetito,dermatitis,True,7.6,cirugia previa,3,bazo,8.63,difusa,blanda,semi-fija,irregulares,rapido,False,False,biopsia,True,False,True,no concluyente,inflamatorio,adenoma,alto,6.2,severo,False,False,True,False,progresiva,desfavorable,cirugia+quimio,mala,6 meses,1
13.5,Mestizo,M,entero,11.7,mediano,sangrado local,cirugia previa,True,13.4,cirugia previa,1,piel,3.86,lobulada,firme,movil,infiltrativos,moderado,False,False,citologia,True,False,True,no concluyente,benigno,carcinoma,alto,8.9,no aplica,True,False,True,False,regresiva,desfavorable,cirugia+quimio,sin tratamiento,6 meses,1
5.2,Labrador,F,esterilizado,26.8,mediano,chequeo general,ninguno,False,10.3,ninguno,1,mama,5.36,irregular,firme,semi-fija,infiltrativos,lento,False,True,biopsia,True,False,True,maligno,inflamatorio,linfoma,bajo,,moderado,False,False,True,False,progresiva,desfavorable,quimioterapia,parcial,6 meses,1
6.6,French Bulldog,F,esterilizado,41.7,pequeno,masa palpable,dermatitis,True,3.3,antiinflamatorios,2,extremidad,6.3,nodular,firme,semi-fija,definidos,lento,False,False,imagen,True,False,True,no concluyente,inflamatorio,mastocitoma,alto,0.5,leve,True,False,True,False,estable,favorable,cirugia,sin tratamiento,12 meses,0
1.6,Labrador,M,entero,22.7,mediano,masa palpable,ninguno,True,0.3,ninguno,1,extremidad,2.09,irregular,blanda,fija,irregulares,lento,True,False,biopsia,False,True,True,sospechoso,benigno,adenoma,bajo,9.5,moderado,False,True,False,True,regresiva,favorable,cirugia,mala,6 meses,0
15.7,French Bulldog,M,entero,20.1,mediano,masa palpable,obesidad,True,2.1,antibioticos,3,cavidad oral,5.15,nodular,blanda,semi-fija,irregulares,lento,False,False,biopsia,True,False,True,no concluyente,inflamatorio,lipoma,intermedio,15.4,no aplica,False,False,True,False,regresiva,favorable,cirugia+quimio,mala,1 mes,1
14.4,Golden Retriever,M,esterilizado,44.0,mediano,cojera,endocrinopatia,False,5.8,antiinflamatorios,2,bazo,4.64,lobulada,dura,semi-fija,irregulares,moderado,False,False,imagen,True,True,True,benigno,inflamatorio,lipoma,no aplica,4.2,moderado,True,False,False,False,estable,favorable,cirugia+quimio,parcial,3 meses,0
8.4,French Bulldog,M,esterilizado,30.8,mediano,sangrado local,cirugia previa,False,11.4,ninguno,1,tejido subcutaneo,7.96,nodular,firme,semi-fija,irregulares,moderado,False,True,citologia,True,False,True,sospechoso,no realizado,lipoma,,5.6,no aplica,False,True,False,False,regresiva,desfavorable,paliativo,mala,12 meses,1
6.7,Beagle,F,esterilizado,16.5,pequeno,sangrado local,ninguno,True,5.3,ninguno,3,cavidad oral,3.61,difusa,firme,semi-fija,irregulares,moderado,True,False,citologia,True,False,False,benigno,inflamatorio,adenoma,alto,3.1,severo,True,False,False,False,progresiva,reservado,observacion,mala,1 mes,0
2.5,Beagle,M,esterilizado,23.9,grande,perdida de apetito,dermatitis,False,5.2,cirugia previa,1,tejido subcutaneo,5.83,nodular,dura,movil,irregulares,moderado,True,False,imagen,False,False,False,benigno,inflamatorio,carcinoma,bajo,10.2,no aplica,False,False,True,False,regresiva,reservado,cirugia+quimio,parcial,3 meses,0
14.2,Beagle,M,esterilizado,11.9,grande,chequeo general,cirugia previa,False,7.6,cirugia previa,2,bazo,5.75,irregular,firme,semi-fija,definidos,lento,True,False,biopsia,False,True,False,benigno,maligno,lipoma,alto,14.8,moderado,True,False,False,True,estable,favorable,cirugia,parcial,12 meses,1
5.1,Labrador,F,esterilizado,30.7,pequeno,masa palpable,obesidad,False,1.0,ninguno,1,extremidad,2.89,nodular,firme,semi-fija,infiltrativos,rapido,False,False,citologia,True,False,False,benigno,inflamatorio,lipoma,bajo,4.3,leve,False,False,False,False,regresiva,desfavorable,cirugia,mala,3 meses,0
9.8,French Bulldog,F,entero,16.3,mediano,chequeo general,dermatitis,False,12.3,antiinflamatorios,1,tejido subcutaneo,6.53,lobulada,blanda,fija,infiltrativos,lento,False,False,examen clinico,True,False,True,no concluyente,inflamatorio,sarcoma,alto,16.3,leve,False,False,False,True,progresiva,reservado,quimioterapia,sin tratamiento,3 meses,1
13.2,Beagle,F,entero,14.5,pequeno,chequeo general,obesidad,False,13.0,antibioticos,3,tejido subcutaneo,7.93,nodular,blanda,fija,irregulares,rapido,True,False,biopsia,True,True,True,sospechoso,no realizado,sarcoma,intermedio,0.1,moderado,False,False,True,True,regresiva,desfavorable,cirugia,mala,6 meses,1
5.9,Pastor Alemán,M,entero,20.4,pequeno,chequeo general,obesidad,False,12.4,antiinflamatorios,1,piel,8.33,irregular,blanda,semi-fija,definidos,moderado,False,True,imagen,True,False,True,maligno,maligno,linfoma,bajo,0.3,no aplica,False,False,False,False,estable,desfavorable,cirugia,buena,6 meses,1
15.9,Pastor Alemán,M,esterilizado,10.6,pequeno,masa palpable,cirugia previa,False,3.4,cirugia previa,1,cavidad oral,5.37,difusa,blanda,movil,irregulares,lento,False,False,imagen,True,False,False,maligno,benigno,adenoma,bajo,0.9,moderado,False,False,False,False,regresiva,desfavorable,observacion,sin tratamiento,6 meses,1
14.4,Labrador,M,esterilizado,10.1,mediano,perdida de apetito,obesidad,True,4.6,cirugia previa,1,cavidad oral,1.32,nodular,blanda,semi-fija,irregulares,rapido,False,False,biopsia,True,False,True,maligno,,mastocitoma,alto,13.3,no aplica,False,True,False,False,progresiva,favorable,cirugia,buena,1 mes,1
15.9,French Bulldog,M,esterilizado,18.0,grande,sangrado local,obesidad,False,1.8,antiinflamatorios,1,cavidad oral,1.11,lobulada,blanda,movil,infiltrativos,rapido,False,False,citologia,True,False,False,sospechoso,no realizado,adenoma,intermedio,13.8,leve,False,True,False,False,progresiva,reservado,paliativo,sin tratamiento,6 meses,1
15.3,Mestizo,M,esterilizado,43.7,grande,sangrado local,obesidad,True,10.3,antiinflamatorios,1,piel,7.27,lobulada,firme,movil,infiltrativos,lento,False,False,examen clinico,True,True,False,no concluyente,benigno,adenoma,intermedio,2.9,no aplica,False,False,False,True,progresiva,reservado,quimioterapia,buena,6 meses,0
8.1,Mestizo,F,entero,34.8,mediano,sangrado local,dermatitis,False,6.1,ninguno,2,cavidad oral,8.77,irregular,dura,fija,infiltrativos,lento,False,False,examen clinico,True,True,False,no concluyente,inflamatorio,mastocitoma,intermedio,12.3,severo,False,False,False,True,estable,favorable,paliativo,sin tratamiento,12 meses,1
9.8,Boxer,M,entero,34.1,mediano,cojera,dermatitis,False,0.8,cirugia previa,3,cavidad oral,3.03,difusa,dura,semi-fija,infiltrativos,moderado,False,False,citologia,True,True,False,maligno,benigno,lipoma,bajo,0.1,leve,True,False,False,False,regresiva,desfavorable,paliativo,mala,6 meses,1
6.9,Pastor Alemán,M,entero,8.7,pequeno,masa palpable,ninguno,False,2.8,ninguno,1,tejido subcutaneo,5.94,irregular,firme,fija,infiltrativos,lento,True,False,citologia,True,True,True,sospechoso,no realizado,lipoma,no aplica,0.4,no aplica,False,False,False,False,estable,reservado,observacion,sin tratamiento,12 meses,0
5.4,French Bulldog,F,esterilizado,24.6,grande,sangrado local,obesidad,True,1.0,ninguno,2,extremidad,3.05,nodular,firme,fija,irregulares,moderado,True,False,biopsia,True,True,True,sospechoso,no realizado,carcinoma,no aplica,4.2,moderado,False,False,False,False,regresiva,desfavorable,cirugia+quimio,buena,6 meses,0
6.4,French Bulldog,M,entero,14.9,grande,masa palpable,obesidad,True,3.0,cirugia previa,1,tejido subcutaneo,8.5,difusa,firme,movil,definidos,rapido,True,True,biopsia,True,True,False,benigno,benigno,carcinoma,no aplica,2.1,moderado,True,False,False,False,progresiva,favorable,paliativo,,3 meses,0
15.2,Boxer,F,entero,43.9,grande,sangrado local,ninguno,False,0.8,ninguno,1,bazo,1.33,irregular,firme,movil,infiltrativos,moderado,False,False,imagen,False,True,False,maligno,maligno,adenoma,intermedio,7.9,no aplica,False,True,False,False,progresiva,desfavorable,cirugia,sin tratamiento,6 meses,1
12.3,French Bulldog,M,entero,36.7,mediano,chequeo general,obesidad,False,7.3,antibioticos,1,tejido subcutaneo,1.57,nodular,dura,fija,definidos,lento,False,False,citologia,True,True,True,sospechoso,benigno,sarcoma,alto,7.5,severo,False,False,False,False,regresiva,desfavorable,cirugia,mala,12 meses,0
6.2,Boxer,F,entero,40.0,pequeno,masa palpable,endocrinopatia,True,10.2,antiinflamatorios,2,extremidad,2.77,nodular,dura,fija,irregulares,rapido,False,False,examen clinico,True,False,False,sospechoso,,sarcoma,no aplica,17.8,leve,False,False,False,False,estable,favorable,observacion,mala,6 meses,1
9.7,Beagle,M,esterilizado,15.6,grande,sangrado local,dermatitis,False,7.4,antiinflamatorios,1,cavidad oral,4.79,irregular,firme,semi-fija,definidos,lento,False,False,examen clinico,True,True,True,sospechoso,no realizado,adenoma,alto,12.2,no aplica,False,False,False,False,progresiva,desfavorable,cirugia+quimio,mala,12 meses,0
7.9,Beagle,M,entero,22.1,pequeno,cojera,endocrinopatia,False,13.3,cirugia previa,1,piel,3.52,lobulada,blanda,fija,definidos,lento,False,False,biopsia,True,True,True,no concluyente,benigno,carcinoma,alto,3.9,no aplica,True,False,True,True,progresiva,desfavorable,quimioterapia,mala,6 meses,0
8.6,French Bulldog,F,esterilizado,9.3,grande,perdida de apetito,ninguno,False,9.4,cirugia previa,2,mama,8.13,lobulada,dura,movil,infiltrativos,moderado,False,False,citologia,False,False,False,maligno,benigno,sarcoma,bajo,3.5,leve,False,False,False,False,estable,favorable,paliativo,buena,1 mes,1
2.3,Mestizo,F,esterilizado,27.7,mediano,masa palpable,cirugia previa,False,5.9,antibioticos,2,cavidad oral,1.09,nodular,dura,movil,irregulares,lento,True,False,citologia,True,True,True,maligno,maligno,adenoma,bajo,5.4,leve,False,False,False,False,estable,favorable,cirugia,,3 meses,0
8.0,French Bulldog,M,esterilizado,4.2,grande,cojera,ninguno,True,13.5,ninguno,1,extremidad,5.97,irregular,firme,fija,irregulares,moderado,True,False,citologia,False,True,False,sospechoso,maligno,linfoma,no aplica,17.3,no aplica,True,False,False,False,regresiva,favorable,observacion,sin tratamiento,12 meses,1
4.2,Boxer,F,entero,9.8,grande,sangrado local,ninguno,True,5.7,ninguno,1,bazo,5.14,lobulada,firme,movil,infiltrativos,rapido,False,False,biopsia,True,False,False,maligno,maligno,sarcoma,alto,6.1,no aplica,False,False,False,True,estable,desfavorable,cirugia+quimio,sin tratamiento,1 mes,1
9.1,Boxer,M,entero,40.5,grande,chequeo general,ninguno,False,11.4,antibioticos,2,mama,7.6,nodular,blanda,semi-fija,irregulares,lento,False,False,examen clinico,False,False,False,sospechoso,benigno,linfoma,alto,14.6,moderado,True,False,False,False,regresiva,desfavorable,paliativo,buena,1 mes,1
8.4,Mestizo,M,entero,5.7,pequeno,masa palpable,dermatitis,True,8.1,antiinflamatorios,2,bazo,7.11,irregular,dura,movil,infiltrativos,rapido,False,False,imagen,True,True,False,benigno,inflamatorio,lipoma,no aplica,4.9,no aplica,False,False,True,False,estable,reservado,cirugia+quimio,,6 meses,1
12.1,Beagle,F,entero,41.5,pequeno,cojera,cirugia previa,True,8.8,ninguno,1,tejido subcutaneo,4.06,nodular,dura,fija,irregulares,moderado,True,False,biopsia,False,False,False,sospechoso,benigno,linfoma,no aplica,13.8,no aplica,False,True,True,True,progresiva,desfavorable,observacion,,1 mes,1
11.2,Mestizo,M,esterilizado,38.7,mediano,masa palpable,endocrinopatia,False,3.4,ninguno,2,tejido subcutaneo,4.34,difusa,dura,fija,definidos,moderado,False,False,examen clinico,True,True,True,benigno,benigno,linfoma,,10.7,moderado,False,True,False,False,progresiva,desfavorable,paliativo,mala,3 meses,1
15.4,Boxer,F,esterilizado,27.5,grande,cojera,dermatitis,False,8.5,antibioticos,1,piel,4.8,irregular,blanda,movil,infiltrativos,rapido,False,False,citologia,False,False,True,benigno,inflamatorio,mastocitoma,no aplica,12.5,no aplica,False,False,False,False,regresiva,reservado,cirugia+quimio,parcial,3 meses,1
10.6,Beagle,M,esterilizado,29.2,pequeno,chequeo general,cirugia previa,False,5.4,cirugia previa,1,piel,3.46,nodular,firme,movil,infiltrativos,lento,True,False,biopsia,True,True,True,sospechoso,maligno,carcinoma,intermedio,6.1,moderado,True,True,False,False,estable,desfavorable,cirugia,mala,1 mes,1
3.6,Mestizo,F,entero,8.0,pequeno,cojera,dermatitis,False,9.8,antibioticos,2,tejido subcutaneo,8.8,irregular,blanda,fija,infiltrativos,lento,False,False,citologia,True,True,False,sospechoso,no realizado,mastocitoma,bajo,14.1,leve,True,False,False,False,progresiva,reservado,paliativo,mala,3 meses,1
5.0,French Bulldog,M,entero,12.2,pequeno,chequeo general,dermatitis,False,4.4,cirugia previa,2,mama,8.44,lobulada,firme,fija,definidos,lento,False,False,biopsia,True,True,False,maligno,no realizado,lipoma,no aplica,7.8,severo,False,False,False,True,estable,reservado,observacion,parcial,1 mes,0
4.4,Labrador,M,esterilizado,4.6,pequeno,perdida de apetito,dermatitis,False,3.7,antibioticos,1,bazo,5.56,irregular,dura,fija,infiltrativos,moderado,True,False,biopsia,False,True,True,benigno,no realizado,sarcoma,intermedio,15.6,moderado,True,False,False,False,regresiva,reservado,cirugia+quimio,parcial,1 mes,1
7.7,Mestizo,M,esterilizado,8.8,pequeno,perdida de apetito,ninguno,False,9.3,antibioticos,1,mama,3.95,difusa,dura,fija,irregulares,moderado,False,False,examen clinico,False,True,False,maligno,no realizado,lipoma,,17.1,leve,False,False,True,False,progresiva,desfavorable,quimioterapia,sin tratamiento,3 meses,1
3.8,Labrador,F,esterilizado,11.6,mediano,sangrado local,ninguno,False,5.3,ninguno,1,cavidad oral,7.78,difusa,firme,movil,definidos,lento,False,False,examen clinico,True,False,True,sospechoso,inflamatorio,lipoma,no aplica,2.9,severo,False,False,False,False,estable,favorable,cirugia+quimio,sin tratamiento,12 meses,0
7.9,Labrador,M,esterilizado,30.1,mediano,perdida de apetito,cirugia previa,False,11.6,antiinflamatorios,2,mama,1.86,difusa,firme,semi-fija,infiltrativos,lento,False,True,examen clinico,True,False,True,maligno,benigno,sarcoma,,,no aplica,False,False,False,True,estable,desfavorable,quimioterapia,mala,12 meses,1
11.1,French Bulldog,F,esterilizado,34.3,pequeno,chequeo general,ninguno,True,1.8,antiinflamatorios,1,bazo,6.81,difusa,firme,movil,definidos,rapido,False,False,imagen,True,False,False,sospechoso,benigno,linfoma,bajo,3.2,leve,False,False,True,False,regresiva,reservado,cirugia,mala,6 meses,1
1.7,Beagle,M,esterilizado,32.0,mediano,masa palpable,endocrinopatia,True,10.9,antiinflamatorios,1,cavidad oral,8.21,irregular,blanda,movil,irregulares,lento,False,False,citologia,True,True,False,benigno,maligno,sarcoma,intermedio,0.8,leve,False,False,False,False,regresiva,reservado,cirugia+quimio,sin tratamiento,3 meses,1
6.8,French Bulldog,M,entero,30.6,mediano,sangrado local,cirugia previa,True,12.4,cirugia previa,1,extremidad,4.65,nodular,dura,fija,infiltrativos,lento,True,True,biopsia,False,False,False,sospechoso,inflamatorio,mastocitoma,alto,17.6,no aplica,True,True,False,False,regresiva,desfavorable,cirugia,sin tratamiento,3 meses,1
4.7,Labrador,M,entero,18.7,mediano,cojera,dermatitis,False,9.1,antiinflamatorios,3,extremidad,8.9,difusa,dura,semi-fija,definidos,moderado,False,False,examen clinico,True,False,False,maligno,benigno,mastocitoma,,6.2,moderado,False,False,False,False,regresiva,desfavorable,cirugia,mala,6 meses,1
1.8,Golden Retriever,M,entero,6.9,grande,sangrado local,dermatitis,True,1.3,cirugia previa,1,mama,6.58,irregular,firme,movil,infiltrativos,lento,False,False,citologia,True,False,True,maligno,no realizado,lipoma,intermedio,8.5,no aplica,False,False,False,False,progresiva,favorable,cirugia+quimio,mala,1 mes,0
4.9,French Bulldog,F,esterilizado,14.9,grande,sangrado local,obesidad,True,2.1,cirugia previa,1,mama,8.27,nodular,blanda,fija,infiltrativos,rapido,False,False,imagen,False,False,True,no concluyente,inflamatorio,sarcoma,bajo,7.4,leve,False,True,False,True,progresiva,reservado,quimioterapia,mala,6 meses,1
1.5,Boxer,F,entero,32.3,grande,cojera,cirugia previa,False,13.2,antiinflamatorios,1,mama,5.54,irregular,blanda,movil,definidos,rapido,False,False,examen clinico,True,True,True,no concluyente,inflamatorio,sarcoma,alto,9.0,no aplica,False,False,False,False,estable,favorable,paliativo,,3 meses,1
3.5,French Bulldog,M,entero,5.9,grande,chequeo general,endocrinopatia,False,4.2,cirugia previa,1,mama,3.56,irregular,blanda,semi-fija,definidos,rapido,False,False,citologia,True,True,True,sospechoso,inflamatorio,lipoma,no aplica,,leve,False,True,False,False,progresiva,favorable,quimioterapia,sin tratamiento,3 meses,1
1.1,Mestizo,M,entero,11.9,pequeno,chequeo general,endocrinopatia,False,13.5,antibioticos,2,tejido subcutaneo,6.89,difusa,firme,semi-fija,infiltrativos,moderado,False,False,biopsia,True,True,True,maligno,inflamatorio,adenoma,bajo,8.2,no aplica,False,False,True,False,regresiva,reservado,cirugia,parcial,12 meses,0
15.8,Boxer,F,entero,29.6,pequeno,perdida de apetito,obesidad,True,6.9,ninguno,1,tejido subcutaneo,8.47,difusa,dura,fija,definidos,rapido,False,False,citologia,False,False,False,benigno,maligno,lipoma,,5.4,no aplica,True,False,True,False,estable,favorable,cirugia,buena,1 mes,1
6.8,Pastor Alemán,M,esterilizado,31.0,grande,masa palpable,dermatitis,False,8.9,cirugia previa,1,bazo,3.2,irregular,dura,fija,definidos,rapido,False,False,imagen,True,False,False,no concluyente,maligno,mastocitoma,,,leve,True,False,False,True,estable,desfavorable,quimioterapia,buena,6 meses,0
13.7,French Bulldog,F,esterilizado,36.5,pequeno,sangrado local,endocrinopatia,False,1.7,ninguno,2,tejido subcutaneo,3.05,lobulada,blanda,semi-fija,infiltrativos,moderado,True,False,examen clinico,True,True,False,benigno,inflamatorio,sarcoma,no aplica,11.4,moderado,False,False,False,False,progresiva,favorable,cirugia,buena,1 mes,0
13.2,Boxer,M,entero,26.0,mediano,chequeo general,obesidad,False,10.7,cirugia previa,1,extremidad,6.62,lobulada,dura,movil,infiltrativos,rapido,False,True,examen clinico,False,False,True,sospechoso,maligno,lipoma,no aplica,5.2,moderado,True,False,True,False,progresiva,desfavorable,paliativo,,3 meses,1
6.3,French Bulldog,M,entero,7.9,grande,perdida de apetito,endocrinopatia,False,2.3,cirugia previa,1,piel,1.33,difusa,firme,semi-fija,infiltrativos,rapido,False,False,imagen,False,False,False,benigno,no realizado,sarcoma,no aplica,5.0,no aplica,False,True,True,False,regresiva,desfavorable,cirugia,sin tratamiento,12 meses,1
10.7,French Bulldog,F,entero,7.2,pequeno,sangrado local,dermatitis,False,9.9,cirugia previa,2,extremidad,7.12,difusa,blanda,fija,infiltrativos,rapido,False,False,examen clinico,False,True,False,benigno,maligno,linfoma,intermedio,0.1,no aplica,False,True,True,True,estable,favorable,paliativo,parcial,1 mes,1
15.7,Beagle,M,entero,15.6,grande,perdida de apetito,endocrinopatia,False,8.2,antibioticos,2,cavidad oral,5.57,irregular,dura,movil,infiltrativos,lento,True,True,biopsia,False,True,True,sospechoso,inflamatorio,carcinoma,intermedio,13.1,no aplica,True,False,False,False,progresiva,reservado,observacion,parcial,12 meses,1
10.5,Beagle,M,esterilizado,26.7,grande,sangrado local,endocrinopatia,True,11.5,antibioticos,2,tejido subcutaneo,0.53,irregular,blanda,semi-fija,definidos,rapido,True,False,examen clinico,True,True,False,maligno,maligno,mastocitoma,alto,0.2,no aplica,False,False,False,False,estable,favorable,paliativo,parcial,12 meses,1
